rasa,opis
pies,"Airedale terier to pies energiczny, uparty i niezależny. Jednym słowem – po prostu terier. Można nauczyć go posłuszeństwa, ale będzie to spore wyzwanie. Jest wspaniałym psem wystawowym i do towarzystwa. Wszechstronny, radosny, ale jednocześnie spokojny, potrafi dostosować się do każdego i wykazuje dużą cierpliwość wobec dzieci."
pies,"Akita jest pierwotna rasą pochodzącą z Japonii. To duży, mocny i proporcjonalnie zbudowany pies. Z natury bardzo spokojny, wrażliwy i uczuciowy wobec członków swojej grupy społecznej. Natomiast wobec obcych okazuje dużą rezerwę. Dostosowuje się do różnych trybów życia, równie dobrze może spać przez cały dzień, jak i spędzać czas ze swoim panem na przeróżnych zajęciach. Akita jest uparta i niezbyt przyjaźnie nastawiona do innych psów. Wymaga właściciela doświadczonego i świadomego cech tej rasy."
pies,"Akita amerykańska to niepospolity pies z wyrazistym charakterem, który nie nadaje się na towarzysza każdego człowieka. Jest niezależny, dumny, czasem uparty, ma opinię „niepokornego”, w związku z czym jego wychowanie należy podjąć wcześnie i prowadzić je systematycznie, w sposób przemyślany, przy zachowaniu odpowiedniej dozy łagodności. Często jest mylony z psem husky, w przeciwieństwie do niego,nie należy jednak do psów sportowych. Lubi odpoczywać i spędzać czas ze swoją rodziną. Blisko z nimi związany jednocześnie zachowuje dystans, przez co zyskał reputację psa będącego swoistym paradoksem. Osoba, która decyduje się na adopcję akity, powinna zdawać sobie sprawę ze specyficznych cech jego charakteru."
pies,"Alaskan malamute to jedna z najstarszych ras arktycznych. Ten pies zaprzęgowy używany był niegdyś do ciągnięcia ładunków. Obecnie funkcja ta nie ma już zastosowania, a współczesne zawody psów zaprzęgowych wymagają dużej szybkości, biorą w nich zatem udział bardziej zwinne i smukłe rasy (takie jak husky). Z tego powodu malamut to dzisiaj głównie pies do towarzystwa i wystawowy. Malamut jest wyjątkowo łagodny i czuły wobec swoich bliskich."
pies,"Alpejski gończy krótkonożny to wszechstronny pies myśliwski używany do tropienia dużej rannej zwierzyny (jeleni, dzików), do ścigania małej zwierzyny (zająców, lisów) lub jako pies aportujący ptactwo. Jest on nie tylko cennym pomocnikiem przy pracy, ale także świetnym psem rodzinnym."
pies,"Amstaff to pies bardzo inteligentny… zrównoważony, wesoły i towarzyski! Jest łagodny w stosunku do wszystkich domowników. Należy jednak pamiętać, że nieprawidłowe wychowanie psa tej rasy może doprowadzić do tego, że stanie się agresywny i trudny do opanowania. Trzeba więc poświęcić mu sporo czasu, by pozostał psem spokojnym i oddanym rodzinie. Amstaff sprawia wrażenie dość groźnego czworonoga, charakteryzuje się bowiem silną, atletyczną budową ciała."
pies,"Anatolian jest mądrym, dumnym, niezależnym i pewnym siebie psem. Od początku istnienia rasy pracuje jako pies pasterski, jest więc wspaniałym opiekunem, który z dużym zaangażowaniem broni swoich najbliższych i swojego terytorium. Nigdy nie okazuje agresji bez powodu, ale potrafi skutecznie i z uporem zniechęcać potencjalnych intruzów. Jednocześnie ten potężnej postury pies jest opanowanym, spokojnym i łagodnym towarzyszem rodziny."
pies,"Appenzeller to pies pasterski, stróżujący i gospodarski używany głównie do prowadzenia stad. Jest też dobrym psem rodzinnym, w szczególności przeznaczonym dla osób prowadzących sportowy tryb życia."
pies,"Ariegéois to pies wykorzystywany do polowań z bronią palną i jako pies gończy. Może pracować sam lub w sforze, w mniej lub bardziej ciężkim terenie. To niezawodny, wszechstronny i posłuszny zwierzak."
pies,"Australian cattle dog to pies pasterski wykorzystywany do prowadzenia bydła. To inteligentny, niezawodny i wytrzymały pomocnik przy pracy."
pies,"Australian silky terrier to niesamowity czworonóg, który wprost idealnie nadaje się na psa rodzinnego i do towarzystwa! Ma wyjątkowo wesołe usposobienie, zawsze jest pełen energii i chęci do zabawy. Mocno przywiązuje się do wszystkich członków rodziny i doskonale czuje się w obecności dzieci. Jak każdy terier bywa też czasem uparty, ale jeśli tylko odbierze staranne wychowanie, będzie bardzo łagodnym i posłusznym towarzyszem."
